millis,stamp,datetime,soilmoisture
9640998, 1565961060, 2019/8/16 13:11:0, 631
9672000, 1565961060, 2019/8/16 13:11:0, 631
9703000, 1565961060, 2019/8/16 13:11:0, 631
9733999, 1565961060, 2019/8/16 13:11:0, 631
9764999, 1565961060, 2019/8/16 13:11:0, 631
9795998, 1565961060, 2019/8/16 13:11:0, 631
9826999, 1565961060, 2019/8/16 13:11:0, 631
9857999, 1565961060, 2019/8/16 13:11:0, 631
9889000, 1565961060, 2019/8/16 13:11:0, 631
9919998, 1565961060, 2019/8/16 13:11:0, 631
9950999, 1565961060, 2019/8/16 13:11:0, 631
9982000, 1565961060, 2019/8/16 13:11:0, 631
10012999, 1565961060, 2019/8/16 13:11:0, 631
10043999, 1565961060, 2019/8/16 13:11:0, 631
10074998, 1565961060, 2019/8/16 13:11:0, 631
10106000, 1565961060, 2019/8/16 13:11:0, 631
10136999, 1565961060, 2019/8/16 13:11:0, 631
10167999, 1565961060, 2019/8/16 13:11:0, 632
10198999, 1565961060, 2019/8/16 13:11:0, 631
10230000, 1565961060, 2019/8/16 13:11:0, 631
10260999, 1565961060, 2019/8/16 13:11:0, 631
10291998, 1565961060, 2019/8/16 13:11:0, 631
10323000, 1565961060, 2019/8/16 13:11:0, 631
10353999, 1565961060, 2019/8/16 13:11:0, 631
10384999, 1565961060, 2019/8/16 13:11:0, 632
10415998, 1565961060, 2019/8/16 13:11:0, 631
10447000, 1565961060, 2019/8/16 13:11:0, 631
10478000, 1565961060, 2019/8/16 13:11:0, 632
10508998, 1565961060, 2019/8/16 13:11:0, 631
10539999, 1565961060, 2019/8/16 13:11:0, 631
10570999, 1565961060, 2019/8/16 13:11:0, 632
10601999, 1565961060, 2019/8/16 13:11:0, 632
10632998, 1565961060, 2019/8/16 13:11:0, 632
10664000, 1565961060, 2019/8/16 13:11:0, 632
10694999, 1565961060, 2019/8/16 13:11:0, 632
10725999, 1565961060, 2019/8/16 13:11:0, 631
10756999, 1565961060, 2019/8/16 13:11:0, 632
10787999, 1565961060, 2019/8/16 13:11:0, 631
10818999, 1565961060, 2019/8/16 13:11:0, 632
10849998, 1565961060, 2019/8/16 13:11:0, 631
10880999, 1565961060, 2019/8/16 13:11:0, 632
10912000, 1565961060, 2019/8/16 13:11:0, 632
10942998, 1565961060, 2019/8/16 13:11:0, 632
10974000, 1565961060, 2019/8/16 13:11:0, 632
11004998, 1565961060, 2019/8/16 13:11:0, 632
11035999, 1565961060, 2019/8/16 13:11:0, 632
11066999, 1565961060, 2019/8/16 13:11:0, 632
11098000, 1565961060, 2019/8/16 13:11:0, 632
11128998, 1565961060, 2019/8/16 13:11:0, 632
11159999, 1565961060, 2019/8/16 13:11:0, 632
11191000, 1565961060, 2019/8/16 13:11:0, 632
11222000, 1565961060, 2019/8/16 13:11:0, 631
11252999, 1565961060, 2019/8/16 13:11:0, 631
11283998, 1565961060, 2019/8/16 13:11:0, 632
11315000, 1565961060, 2019/8/16 13:11:0, 632
11345998, 1565961060, 2019/8/16 13:11:0, 632
11376999, 1565961060, 2019/8/16 13:11:0, 632
11408000, 1565961060, 2019/8/16 13:11:0, 632
11439000, 1565961060, 2019/8/16 13:11:0, 632
11469999, 1565961060, 2019/8/16 13:11:0, 632
11500998, 1565961060, 2019/8/16 13:11:0, 632
11532000, 1565961060, 2019/8/16 13:11:0, 632
11562999, 1565961060, 2019/8/16 13:11:0, 632
11593999, 1565961060, 2019/8/16 13:11:0, 632
11624998, 1565961060, 2019/8/16 13:11:0, 632
11655999, 1565961060, 2019/8/16 13:11:0, 632
11686999, 1565961060, 2019/8/16 13:11:0, 632
11718000, 1565961060, 2019/8/16 13:11:0, 632
11749000, 1565961060, 2019/8/16 13:11:0, 633
11779998, 1565961060, 2019/8/16 13:11:0, 632
11810999, 1565961060, 2019/8/16 13:11:0, 632
11841998, 1565961060, 2019/8/16 13:11:0, 632
11873000, 1565961060, 2019/8/16 13:11:0, 632
11904000, 1565961060, 2019/8/16 13:11:0, 632
11934999, 1565961060, 2019/8/16 13:11:0, 632
11965999, 1565961060, 2019/8/16 13:11:0, 632
11996998, 1565961060, 2019/8/16 13:11:0, 632
12027999, 1565961060, 2019/8/16 13:11:0, 632
12058999, 1565961060, 2019/8/16 13:11:0, 632
12090000, 1565961060, 2019/8/16 13:11:0, 632
12120998, 1565961060, 2019/8/16 13:11:0, 632
12151999, 1565961060, 2019/8/16 13:11:0, 632
12183000, 1565961060, 2019/8/16 13:11:0, 632
12214000, 1565961060, 2019/8/16 13:11:0, 632
12244999, 1565961060, 2019/8/16 13:11:0, 632
12275998, 1565961060, 2019/8/16 13:11:0, 633
12307000, 1565961060, 2019/8/16 13:11:0, 632
12337998, 1565961060, 2019/8/16 13:11:0, 633
12368999, 1565961060, 2019/8/16 13:11:0, 632
12400000, 1565961060, 2019/8/16 13:11:0, 632
12430999, 1565961060, 2019/8/16 13:11:0, 632
12461999, 1565961060, 2019/8/16 13:11:0, 632
12492998, 1565961060, 2019/8/16 13:11:0, 633
12524000, 1565961060, 2019/8/16 13:11:0, 632
12554998, 1565961060, 2019/8/16 13:11:0, 633
